provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;102;1;1;28102001_1_38;2019;1;1;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;2;V;2;V;2;V;2;V
28;102;1;6;28102001_6_48;2019;1;1;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V
28;102;1;7;28102001_7_8;2019;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2019;1;1;9;V;9;V;8;V;7;V;6;V;5;V;5;V;5;V;5;V;3;V;3;V;4;V;3;V;3;V;3;V;3;V;6;V;10;V;8;V;7;V;9;V;10;V;16;V;17;V
28;102;1;10;28102001_10_49;2019;1;1;13;V;6;V;7;V;1;V;2;V;2;V;7;V;5;V;8;V;16;V;3;V;9;V;11;V;8;V;7;V;3;V;8;V;9;V;15;V;19;V;15;V;15;V;13;V;15;V
28;102;1;12;28102001_12_8;2019;1;1;11;V;11;V;10;V;9;V;8;V;7;V;7;V;7;V;7;V;5;V;5;V;6;V;5;V;5;V;5;V;5;V;8;V;12;V;10;V;9;V;11;V;12;V;18;V;19;V
28;102;1;14;28102001_14_6;2019;1;1;55;V;55;V;54;V;56;V;53;V;53;V;59;V;59;V;56;V;52;V;54;V;65;V;76;V;78;V;79;V;80;V;65;V;60;V;70;V;76;V;64;V;60;V;42;V;38;V
28;120;1;7;28120001_7_8;2019;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;120;1;8;28120001_8_8;2019;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;3;V;3;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;120;1;9;28120001_9_49;2019;1;1;1;V;1;V;1;V;2;V;1;V;23;V;2;V;1;V;1;V;1;V;1;V;1;V;18;V;11;V;1;V;1;V;2;V;3;V;1;V;3;V;6;V;4;V;5;V;39;V
28;120;1;10;28120001_10_49;2019;1;1;2;V;3;V;3;V;5;V;3;V;1;V;3;V;3;V;2;V;2;V;1;V;2;V;2;V;3;V;2;V;13;V;9;V;5;V;2;V;1;V;1;V;3;V;4;V;8;V
28;120;1;12;28120001_12_8;2019;1;1;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;4;V;4;V;4;V;5;V;5;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V
28;120;1;14;28120001_14_6;2019;1;1;84;V;85;V;85;V;85;V;88;V;89;V;88;V;88;V;91;V;95;V;93;V;90;V;89;V;87;V;82;V;76;V;71;V;81;V;83;V;85;V;85;V;85;V;84;V;87;V
28;123;2;7;28123002_7_8;2019;1;1;65;V;58;V;25;V;28;V;13;V;13;V;12;V;6;V;10;V;10;V;10;V;9;V;9;V;6;V;2;V;3;V;22;V;83;V;133;V;146;V;160;V;89;V;88;V;91;V
28;123;2;8;28123002_8_8;2019;1;1;47;V;45;V;38;V;35;V;30;V;29;V;30;V;22;V;19;V;15;V;14;V;16;V;17;V;14;V;9;V;14;V;46;V;58;V;67;V;64;V;63;V;58;V;51;V;41;V
28;123;2;10;28123002_10_49;2019;1;1;55;V;57;V;40;V;30;V;21;V;19;V;18;V;14;V;13;V;13;V;12;V;15;V;11;V;10;V;8;V;12;V;16;V;90;V;134;V;168;V;122;V;86;V;52;V;50;V
28;123;2;12;28123002_12_8;2019;1;1;146;V;133;V;76;V;78;V;49;V;49;V;48;V;32;V;34;V;30;V;28;V;30;V;30;V;23;V;12;V;18;V;80;V;186;V;271;V;288;V;308;V;193;V;186;V;181;V
28;123;2;14;28123002_14_6;2019;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;6;V;14;V;21;V;26;V;33;V;38;V;45;V;56;V;46;V;20;V;16;V;16;V;8;V;4;V;1;V;1;V;1;V
28;123;2;14;28123002_14_8;2019;1;1;1;V;1;V;1;V;1;V;1;V;2;V;1;V;6;V;13;V;19;V;24;V;31;V;36;V;43;V;53;V;44;V;20;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;13;2;7;28013002_7_8;2019;1;1;17;V;5;V;5;V;5;V;3;V;3;V;4;V;4;V;7;V;5;V;4;V;3;V;5;V;5;V;4;V;8;V;41;V;27;V;78;V;78;V;33;V;10;V;8;V;6;V
28;13;2;8;28013002_8_8;2019;1;1;25;V;20;V;21;V;19;V;14;V;13;V;13;V;13;V;13;V;10;V;10;V;11;V;17;V;20;V;20;V;30;V;63;V;64;V;70;V;61;V;45;V;32;V;28;V;24;V
28;13;2;10;28013002_10_49;2019;1;1;22;V;23;V;17;V;15;V;17;V;12;V;9;V;7;V;11;V;5;V;9;V;3;V;7;V;5;V;6;V;8;V;11;V;26;V;25;V;30;V;29;V;27;V;18;V;15;V
28;13;2;12;28013002_12_8;2019;1;1;50;V;29;V;29;V;27;V;19;V;18;V;19;V;20;V;23;V;17;V;16;V;16;V;24;V;27;V;25;V;42;V;125;V;105;V;190;V;180;V;96;V;47;V;41;V;34;V
28;13;2;14;28013002_14_6;2019;1;1;5;V;7;V;5;V;6;V;9;V;9;V;7;V;6;V;10;V;18;V;23;V;32;V;33;V;34;V;41;V;36;V;11;V;8;V;4;V;4;V;3;V;5;V;4;V;5;V
28;133;2;7;28133002_7_8;2019;1;1;8;V;2;V;2;V;2;V;2;V;1;V;3;V;1;V;8;V;3;V;3;V;3;V;3;V;4;V;3;V;3;V;4;V;2;V;3;V;4;V;2;V;1;V;1;V;1;V
